M,bits_per_symbol,p_loss,p_confuse,correct_rate,erasure_rate,symbol_error_rate,throughput_proxy,mode
16,4.0,0.1,0.2,0.72,0.1,0.18,2.88,analytical
32,5.0,0.0,0.0,1.0,0.0,0.0,5.0,analytical
32,5.0,0.0,0.01,0.99,0.0,0.01,4.95,analytical
32,5.0,0.0,0.05,0.95,0.0,0.05,4.75,analytical
32,5.0,0.0,0.1,0.9,0.0,0.1,4.5,analytical
32,5.0,0.0,0.2,0.8,0.0,0.2,4.0,analytical
32,5.0,0.01,0.0,0.99,0.01,0.0,4.95,analytical
32,5.0,0.01,0.01,0.9801,0.01,0.0099,4.9005,analytical
32,5.0,0.01,0.05,0.9405,0.01,0.0495,4.7025,analytical
32,5.0,0.01,0.1,0.891,0.01,0.099,4.455,analytical
32,5.0,0.01,0.2,0.792,0.01,0.198,3.96,analytical
32,5.0,0.05,0.0,0.95,0.05,0.0,4.75,analytical
32,5.0,0.05,0.01,0.9405,0.05,0.0095,4.7025,analytical
32,5.0,0.05,0.05,0.9025,0.05,0.0475,4.5125,analytical
32,5.0,0.05,0.1,0.855,0.05,0.095,4.275,analytical
32,5.0,0.05,0.2,0.76,0.05,0.19,3.8,analytical
32,5.0,0.1,0.0,0.9,0.1,0.0,4.5,analytical
32,5.0,0.1,0.01,0.891,0.1,0.009,4.455,analytical
32,5.0,0.1,0.05,0.855,0.1,0.045,4.275,analytical
32,5.0,0.1,0.1,0.81,0.1,0.09,4.05,analytical
32,5.0,0.1,0.2,0.72,0.1,0.18,3.6,analytical
64,6.0,0.0,0.0,1.0,0.0,0.0,6.0,analytical
64,6.0,0.0,0.01,0.99,0.0,0.01,5.94,analytical
64,6.0,0.0,0.05,0.95,0.0,0.05,5.7,analytical
64,6.0,0.0,0.1,0.9,0.0,0.1,5.4,analytical
64,6.0,0.0,0.2,0.8,0.0,0.2,4.8,analytical
64,6.0,0.01,0.0,0.99,0.01,0.0,5.94,analytical
64,6.0,0.01,0.01,0.9801,0.01,0.0099,5.8806,analytical
64,6.0,0.01,0.05,0.9405,0.01,0.0495,5.643,analytical
64,6.0,0.01,0.1,0.891,0.01,0.099,5.346,analytical
64,6.0,0.01,0.2,0.792,0.01,0.198,4.752,analytical
64,6.0,0.05,0.0,0.95,0.05,0.0,5.7,analytical
64,6.0,0.05,0.01,0.9405,0.05,0.0095,5.643,analytical
64,6.0,0.05,0.05,0.9025,0.05,0.0475,5.415,analytical
64,6.0,0.05,0.1,0.855,0.05,0.095,5.13,analytical
64,6.0,0.05,0.2,0.76,0.05,0.19,4.56,analytical
64,6.0,0.1,0.0,0.9,0.1,0.0,5.4,analytical
64,6.0,0.1,0.01,0.891,0.1,0.009,5.346,analytical
64,6.0,0.1,0.05,0.855,0.1,0.045,5.13,analytical
64,6.0,0.1,0.1,0.81,0.1,0.09,4.86,analytical
64,6.0,0.1,0.2,0.72,0.1,0.18,4.32,analytical
128,7.0,0.0,0.0,1.0,0.0,0.0,7.0,analytical
128,7.0,0.0,0.01,0.99,0.0,0.01,6.93,analytical
128,7.0,0.0,0.05,0.95,0.0,0.05,6.65,analytical
128,7.0,0.0,0.1,0.9,0.0,0.1,6.3,analytical
128,7.0,0.0,0.2,0.8,0.0,0.2,5.6,analytical
128,7.0,0.01,0.0,0.99,0.01,0.0,6.93,analytical
128,7.0,0.01,0.01,0.9801,0.01,0.0099,6.8607,analytical
128,7.0,0.01,0.05,0.9405,0.01,0.0495,6.5835,analytical
